,To,Ti_sp,Φo,Φi,Qa,Φa,Etot
2000-01-01 00:00:00+08:00,-2.4,16,0.0,0.0,0.0,0.0,0.0
2000-01-01 01:00:00+08:00,-1.3,16,0.0,0.0,0.0,0.0,0.0
2000-01-01 02:00:00+08:00,-0.6,16,0.0,0.0,0.0,0.0,0.0
2000-01-01 03:00:00+08:00,-0.4,16,0.0,0.0,0.0,0.0,0.0
2000-01-01 04:00:00+08:00,-0.6,16,0.0,0.0,0.0,0.0,0.0
2000-01-01 05:00:00+08:00,-0.8,16,0.0,0.0,0.0,0.0,0.0
2000-01-01 06:00:00+08:00,-1.2,20,0.0,0.0,0.0,0.0,0.0
2000-01-01 07:00:00+08:00,-1.5,20,0.6749999999999999,2.6831249999999995,0.0,13.5945,2.25
2000-01-01 08:00:00+08:00,3.4,20,29.043986784758573,115.44984746941533,0.0,584.9458938450377,96.81328928252859
2000-01-01 09:00:00+08:00,2.5,20,113.65728650104086,451.7877138416374,0.0,2289.057750130963,378.8576216701362
2000-01-01 10:00:00+08:00,1.7,20,167.74525603042974,666.7873927209582,0.0,3378.389456452855,559.1508534347658
2000-01-01 11:00:00+08:00,1.9,20,226.06242769140468,898.5981500733336,0.0,4552.89729370489,753.5414256380157
2000-01-01 12:00:00+08:00,2.1,20,230.31218797626192,915.4909472056411,0.0,4638.487465841915,767.7072932542064
2000-01-01 13:00:00+08:00,2.3,20,200.63669476516503,797.530861691531,0.0,4040.823032570424,668.7889825505501
2000-01-01 14:00:00+08:00,2.5,20,143.40884780493897,570.0501700246324,0.0,2888.2541947914706,478.0294926831299
2000-01-01 15:00:00+08:00,2.7,20,63.31834861249781,251.69043573467877,0.0,1275.231541055706,211.06116204165937
2000-01-01 16:00:00+08:00,2.9,20,5.175,20.570625,0.0,104.22449999999999,17.25
2000-01-01 17:00:00+08:00,2.0,20,0.0,0.0,0.0,0.0,0.0
2000-01-01 18:00:00+08:00,1.1,20,0.0,0.0,0.0,0.0,0.0
2000-01-01 19:00:00+08:00,0.2,20,0.0,0.0,0.0,0.0,0.0
2000-01-01 20:00:00+08:00,-0.7,20,0.0,0.0,0.0,0.0,0.0
2000-01-01 21:00:00+08:00,-1.6,20,0.0,0.0,0.0,0.0,0.0
2000-01-01 22:00:00+08:00,-2.5,20,0.0,0.0,0.0,0.0,0.0
2000-01-01 23:00:00+08:00,-2.5,16,0.0,0.0,0.0,0.0,0.0
2000-01-02 00:00:00+08:00,-2.5,16,0.0,0.0,0.0,0.0,0.0
2000-01-02 01:00:00+08:00,-2.5,16,0.0,0.0,0.0,0.0,0.0
2000-01-02 02:00:00+08:00,-2.9,16,0.0,0.0,0.0,0.0,0.0
2000-01-02 03:00:00+08:00,-3.3,16,0.0,0.0,0.0,0.0,0.0
2000-01-02 04:00:00+08:00,-3.7,16,0.0,0.0,0.0,0.0,0.0
2000-01-02 05:00:00+08:00,-3.9,16,0.0,0.0,0.0,0.0,0.0
2000-01-02 06:00:00+08:00,-4.1,20,0.0,0.0,0.0,0.0,0.0
2000-01-02 07:00:00+08:00,-4.3,20,0.44999999999999996,1.7887499999999998,0.0,9.062999999999999,1.5
2000-01-02 08:00:00+08:00,-3.7,20,20.1481454227273,80.08887805534101,0.0,405.7836488137278,67.16048474242433
2000-01-02 09:00:00+08:00,-3.1,20,105.8941206791586,420.9291296996554,0.0,2132.707590478254,352.980402263862
2000-01-02 10:00:00+08:00,-2.5,20,164.8888439327701,655.4331546327611,0.0,3320.8613168059896,549.6294797759003
2000-01-02 11:00:00+08:00,-1.7,20,212.55628465057163,844.9112314860222,0.0,4280.883572862513,708.5209488352388
2000-01-02 12:00:00+08:00,-1.0,20,180.0713878752994,715.783766804315,0.0,3626.6377518085296,600.2379595843313
2000-01-02 13:00:00+08:00,-0.2,20,151.66108251460022,602.8528029955359,0.0,3054.454201844049,505.53694171533414
2000-01-02 14:00:00+08:00,-0.4,20,109.38166233548,434.79210778353297,0.0,2202.946679436567,364.6055411182667
2000-01-02 15:00:00+08:00,-0.5,20,46.39117324666704,184.40491365550147,0.0,934.3182291878742,154.6372441555568
2000-01-02 16:00:00+08:00,-0.7,20,4.725,18.781875,0.0,95.1615,15.75
2000-01-02 17:00:00+08:00,-1.3,20,0.0,0.0,0.0,0.0,0.0
2000-01-02 18:00:00+08:00,-1.9,20,0.0,0.0,0.0,0.0,0.0
2000-01-02 19:00:00+08:00,-2.5,20,0.0,0.0,0.0,0.0,0.0
2000-01-02 20:00:00+08:00,-3.1,20,0.0,0.0,0.0,0.0,0.0
2000-01-02 21:00:00+08:00,-3.7,20,0.0,0.0,0.0,0.0,0.0
2000-01-02 22:00:00+08:00,-4.3,20,0.0,0.0,0.0,0.0,0.0
2000-01-02 23:00:00+08:00,-4.2,16,0.0,0.0,0.0,0.0,0.0
2000-01-03 00:00:00+08:00,-4.0,16,0.0,0.0,0.0,0.0,0.0
2000-01-03 01:00:00+08:00,-3.9,16,0.0,0.0,0.0,0.0,0.0
2000-01-03 02:00:00+08:00,-3.8,16,0.0,0.0,0.0,0.0,0.0
2000-01-03 03:00:00+08:00,-3.8,16,0.0,0.0,0.0,0.0,0.0
2000-01-03 04:00:00+08:00,-3.7,16,0.0,0.0,0.0,0.0,0.0
2000-01-03 05:00:00+08:00,-3.7,16,0.0,0.0,0.0,0.0,0.0
2000-01-03 06:00:00+08:00,-3.7,20,0.0,0.0,0.0,0.0,0.0
2000-01-03 07:00:00+08:00,-3.7,20,0.22499999999999998,0.8943749999999999,0.0,4.531499999999999,0.75
