,To,Ti_sp,Φo,Φi,Qa,Φa,Etot
2000-01-01 00:00:00+01:00,0.8,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 01:00:00+01:00,-0.6,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 02:00:00+01:00,-1.5,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 03:00:00+01:00,-1.9,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 04:00:00+01:00,-2.1,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 05:00:00+01:00,-2.4,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 06:00:00+01:00,-1.9,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 07:00:00+01:00,-2.0,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 08:00:00+01:00,-2.0,24,0.44999999999999996,0.8999999999999999,0.0,4.5600000000000005,1.5
2000-01-01 09:00:00+01:00,-1.9,24,3.5999999999999996,7.199999999999999,0.0,36.480000000000004,12.0
2000-01-01 10:00:00+01:00,-2.0,24,9.225,18.45,0.0,93.48,30.75
2000-01-01 11:00:00+01:00,-1.5,24,13.725,27.45,0.0,139.08,45.75
2000-01-01 12:00:00+01:00,-1.0,24,15.75,31.5,0.0,159.6,52.5
2000-01-01 13:00:00+01:00,0.0,24,14.85,29.7,0.0,150.48,49.5
2000-01-01 14:00:00+01:00,0.0,24,11.25,22.5,0.0,114.0,37.5
2000-01-01 15:00:00+01:00,-0.3,24,6.075,12.15,0.0,61.56,20.25
2000-01-01 16:00:00+01:00,-1.0,24,1.125,2.25,0.0,11.4,3.75
2000-01-01 17:00:00+01:00,-1.0,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 18:00:00+01:00,-1.1,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 19:00:00+01:00,-1.0,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 20:00:00+01:00,-2.0,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 21:00:00+01:00,-1.7,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 22:00:00+01:00,-2.0,24,0.0,0.0,0.0,0.0,0.0
2000-01-01 23:00:00+01:00,-1.0,24,0.0,0.0,0.0,0.0,0.0
2000-01-02 00:00:00+01:00,-1.0,24,0.0,0.0,0.0,0.0,0.0
2000-01-02 01:00:00+01:00,-1.0,24,0.0,0.0,0.0,0.0,0.0
2000-01-02 02:00:00+01:00,-1.0,24,0.0,0.0,0.0,0.0,0.0
