,To,Ti_sp,Φo,Φi,Qa,Φa,Etot
2000-05-13 00:00:00+01:00,17.5,16,0.0,0.0,0.0,0.0,0.0
2000-05-13 01:00:00+01:00,17.0,16,0.0,0.0,0.0,0.0,0.0
2000-05-13 02:00:00+01:00,16.0,16,0.0,0.0,0.0,0.0,0.0
2000-05-13 03:00:00+01:00,17.0,16,0.0,0.0,0.0,0.0,0.0
2000-05-13 04:00:00+01:00,17.0,16,0.0,0.0,0.0,0.0,0.0
2000-05-13 05:00:00+01:00,17.0,16,1.7999999999999998,3.5999999999999996,0.0,18.240000000000002,6.0
2000-05-13 06:00:00+01:00,17.1,20,11.7,23.4,0.0,118.56,39.0
2000-05-13 07:00:00+01:00,18.0,20,34.65210488371222,69.30420976742444,0.0,351.1413294882838,115.50701627904073
2000-05-13 08:00:00+01:00,18.0,20,65.18944021049556,130.37888042099112,0.0,660.586327466355,217.2981340349852
2000-05-13 09:00:00+01:00,20.4,20,97.7287464137333,195.4574928274666,0.0,990.3179636591641,325.7624880457777
2000-05-13 10:00:00+01:00,21.2,20,117.98335559564839,235.96671119129678,0.0,1195.5646700359036,393.27785198549464
2000-05-13 11:00:00+01:00,22.0,20,130.6471906803334,261.2943813606668,0.0,1323.8915322273788,435.4906356011114
2000-05-13 12:00:00+01:00,23.6,20,133.6350090401686,267.2700180803372,0.0,1354.1680916070418,445.4500301338953
2000-05-13 13:00:00+01:00,25.0,20,127.4287464137333,254.8574928274666,0.0,1291.2779636591642,424.7624880457777
2000-05-13 14:00:00+01:00,23.0,20,113.19193847842556,226.3838769568511,0.0,1147.0116432480456,377.30646159475185
2000-05-13 15:00:00+01:00,24.0,20,86.11517270342556,172.23034540685111,0.0,872.6337500613789,287.0505756780852
2000-05-13 16:00:00+01:00,23.0,20,61.12965823819104,122.25931647638208,0.0,619.4472034803359,203.7655274606368
2000-05-13 17:00:00+01:00,19.0,20,37.1304754994981,74.2609509989962,0.0,376.25548506158077,123.76825166499367
